,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,2urvived
111,0,0,1,1,0,1,0,0
112,0,0,0,0,0,1,1,0
113,0,0,1,1,0,1,1,0
114,0,0,1,0,0,1,0,0
115,0,0,0,0,0,1,1,0
116,1,0,0,0,0,1,0,0
117,0,0,0,1,0,0,1,0
118,0,1,0,0,1,0,0,0
119,0,0,1,1,1,1,1,0
120,0,1,0,1,0,0,1,0
121,0,0,0,0,0,1,1,0
122,1,0,0,1,0,0,0,0
123,1,0,1,0,0,0,1,1
124,1,1,0,0,1,0,1,0
125,0,0,0,1,0,1,0,1
126,0,0,0,0,0,1,0,0
127,0,0,0,0,0,1,1,1
128,0,0,1,1,1,1,0,1
129,1,0,0,0,0,1,1,0
130,1,0,0,0,0,1,0,0
131,0,0,0,0,0,1,1,0
132,1,0,1,1,0,1,1,0
133,0,0,1,1,0,0,1,1
134,0,0,0,0,0,0,1,0
135,0,0,0,0,0,0,0,0
136,0,0,1,0,1,0,1,1
137,1,1,0,1,0,0,1,0
138,0,0,0,0,0,1,1,0
139,0,1,0,0,0,0,0,0
140,0,0,1,0,1,1,0,0
141,0,0,1,0,0,1,1,1
142,0,0,1,1,0,1,1,1
143,0,0,0,0,0,1,0,0
144,0,0,0,0,0,0,1,0
145,0,1,0,1,1,0,1,0
146,0,0,0,0,0,1,1,1
147,0,1,1,1,1,1,1,0
148,1,0,0,0,1,0,1,0
149,1,0,0,0,0,0,1,0
150,1,0,0,0,0,0,1,0
151,0,1,1,1,0,0,1,1
152,1,0,0,0,0,1,1,0
153,1,0,0,0,1,1,1,0
154,0,0,0,0,0,1,1,0
155,1,1,0,0,1,0,0,0
156,0,0,1,0,0,1,0,1
157,1,0,0,0,0,1,1,0
158,0,0,0,0,0,1,1,0
159,0,1,0,1,1,1,1,0
160,1,0,0,0,1,1,1,0
161,1,0,1,0,0,0,1,1
162,0,0,0,0,0,1,1,0
163,0,0,0,0,0,1,1,0
164,0,1,0,1,1,1,1,0
165,0,0,0,0,1,1,1,1
166,0,1,1,0,1,0,1,1
167,1,0,1,1,1,1,1,0
168,0,0,0,0,0,0,1,0
169,0,1,0,0,0,1,1,0
170,1,1,0,0,0,0,1,0
171,0,0,0,1,1,1,0,0
172,0,0,1,1,1,1,1,1
173,0,0,0,0,0,1,1,0
174,1,0,0,0,0,0,0,0
175,0,0,0,1,1,1,1,0
176,0,0,0,1,1,1,1,0
177,1,0,1,0,0,0,0,0
178,1,0,0,0,0,0,1,0
179,1,0,0,0,0,1,1,0
180,0,1,1,1,1,1,1,0
181,0,0,0,0,0,0,0,0
182,0,0,0,1,1,1,1,0
183,0,1,0,1,1,0,1,1
184,0,0,1,0,1,1,1,1
185,0,1,0,0,0,0,1,0
186,0,0,1,1,0,1,0,1
187,1,0,0,0,0,0,1,1
188,1,0,0,1,1,1,0,0
189,1,0,0,0,0,1,1,0
190,1,0,1,0,0,0,1,1
191,0,0,0,0,0,0,1,0
192,0,0,1,1,0,1,1,1
193,0,0,0,1,1,0,1,1
194,1,0,1,0,0,0,0,1
195,1,1,1,0,0,0,0,1
196,0,0,0,0,0,1,0,0
197,1,0,0,0,1,1,1,0
198,0,0,1,0,0,1,0,1
199,0,0,1,0,0,0,1,0
200,0,0,0,0,0,1,1,0
201,0,1,0,1,1,1,1,0
202,1,0,0,0,0,1,1,0
203,1,0,0,0,0,1,0,0
204,0,0,0,0,0,1,1,1
205,0,0,1,0,1,1,1,0
206,1,0,0,1,0,1,1,0
207,0,0,0,0,0,1,0,1
208,0,0,1,0,0,1,0,1
209,1,0,0,0,0,0,0,1
210,0,0,0,0,0,1,1,0
211,1,0,1,0,0,0,1,1
212,0,0,0,0,0,1,1,0
213,1,0,0,0,0,0,1,0
214,0,0,0,1,0,1,0,0
215,1,1,1,1,0,0,0,1
216,0,0,1,0,0,1,1,1
217,1,0,0,1,0,0,1,0
218,1,1,1,0,0,0,0,1
219,1,0,0,0,0,0,1,0
220,0,0,0,0,0,1,1,1
221,0,0,0,0,0,0,1,0
222,1,0,0,0,0,1,1,0
223,0,0,0,0,0,1,1,0
224,1,1,0,1,0,0,1,1
225,0,0,0,0,0,1,1,0
226,0,0,0,0,0,0,1,1
227,0,0,0,0,0,1,1,0
228,0,0,0,0,0,0,1,0
229,0,0,1,1,1,1,1,0
230,1,1,1,1,0,0,1,1
231,0,0,0,0,0,1,1,0
232,1,0,0,0,0,0,1,0
233,0,0,1,1,1,1,1,1
234,0,0,0,0,0,0,1,0
235,0,0,1,0,0,1,1,0
236,1,0,0,1,0,0,1,0
237,0,0,1,0,1,0,1,1
238,0,0,0,0,0,0,1,0
239,1,0,0,0,0,0,1,0
240,0,0,1,1,0,1,0,0
241,0,0,1,1,0,1,0,1
242,0,0,0,0,0,0,1,0
243,0,0,0,0,0,1,1,0
244,1,0,0,0,0,1,0,0
245,1,1,0,1,0,0,0,0
246,0,0,1,0,0,1,1,0
247,0,0,1,0,1,0,1,1
248,1,1,0,1,1,0,1,1
249,1,0,0,1,0,0,1,0
250,0,0,0,0,0,1,1,0
251,0,0,1,1,1,1,1,0
252,1,0,0,0,0,0,1,0
253,1,0,0,1,0,1,1,0
254,1,0,1,0,1,1,1,0
255,0,0,1,0,1,1,0,1
256,0,1,1,0,0,0,0,1
257,1,1,1,0,0,0,1,1
258,1,1,1,0,0,0,0,1
259,1,0,1,0,1,0,1,1
260,0,0,0,0,0,1,0,0
261,0,0,0,1,1,1,1,1
262,1,1,0,1,1,0,1,0
263,1,0,0,0,0,0,1,0
264,0,0,1,0,0,1,0,0
265,1,0,0,0,0,0,1,0
266,0,1,0,1,1,1,1,0
267,0,0,0,1,0,1,1,1
268,1,1,1,0,1,0,1,1
269,1,1,1,0,0,0,1,1
270,0,0,0,0,0,0,1,0
271,0,0,0,0,0,1,1,1
272,1,0,1,0,1,0,1,1
273,1,0,0,0,1,0,0,0
274,0,0,1,0,0,1,0,1
275,1,1,1,1,0,0,1,1
276,1,0,1,0,0,1,1,0
277,0,0,0,0,0,0,1,0
278,0,0,0,1,1,1,0,0
279,1,0,1,1,1,1,1,1
280,1,0,0,0,0,1,0,0
281,0,0,0,0,0,1,1,0
282,0,0,0,0,0,1,1,0
283,0,0,0,0,0,1,1,1
284,0,0,0,0,0,0,1,0
285,1,0,0,0,0,1,0,0
286,1,0,0,0,0,1,1,1
287,0,0,0,0,0,1,1,0
288,1,0,0,0,0,0,1,1
289,0,0,1,0,0,1,0,1
290,0,1,1,0,0,0,1,1
291,0,1,1,1,0,0,0,1
292,1,0,0,0,0,0,0,0
293,0,0,1,0,0,1,1,0
294,0,0,0,0,0,1,1,0
295,0,0,0,0,0,0,0,0
296,0,0,0,0,0,1,0,0
297,0,1,1,1,1,0,1,0
298,0,0,0,0,0,0,1,1
299,1,1,1,0,1,0,0,1
300,0,0,1,0,0,1,0,1
301,0,0,0,1,0,1,0,1
302,0,0,0,0,0,1,1,0
303,0,0,1,0,0,0,0,1
304,0,0,0,0,0,1,1,0
305,0,1,0,1,1,0,1,1
306,0,1,1,0,0,0,0,1
307,0,1,1,1,0,0,0,1
308,1,0,0,1,0,0,0,0
309,1,1,1,0,0,0,0,1
310,0,1,1,0,0,0,0,1
311,0,1,1,1,1,0,0,1
312,0,0,1,1,1,0,1,0
313,0,0,0,0,0,1,1,0
314,1,0,0,1,1,0,1,0
315,0,0,1,0,0,1,1,1
316,0,0,1,1,0,0,1,1
317,1,0,0,0,0,0,1,0
318,1,1,1,0,1,0,1,1
319,1,1,1,1,1,0,0,1
320,0,0,0,0,0,1,1,0
321,0,0,0,0,0,1,1,0
322,1,0,1,0,0,0,0,1
323,0,0,1,1,1,0,1,1
324,0,1,0,1,1,1,1,0
325,1,1,1,0,0,0,0,1
326,1,0,0,0,0,1,1,0
327,1,0,1,0,0,0,1,1
328,1,0,1,1,1,1,1,1
329,0,1,1,0,1,0,0,1
330,0,0,1,1,0,1,0,1
331,1,0,0,0,0,0,1,0
332,1,1,0,0,1,0,1,0
333,0,0,0,1,0,1,1,0
334,0,1,1,1,0,0,1,1
335,0,0,0,0,0,1,1,0
336,0,1,0,1,0,0,1,0
337,1,1,1,0,0,0,0,1
338,1,0,0,0,0,1,1,1
339,1,1,0,0,0,0,1,0
340,0,0,0,1,1,0,1,1
341,0,1,1,1,1,0,1,1
342,0,0,0,0,0,0,1,0
343,0,0,0,0,0,0,1,0
344,1,0,0,0,0,0,1,0
345,0,0,1,0,0,0,1,1
346,1,0,1,0,0,0,1,1
347,0,0,1,1,0,1,1,1
348,0,0,0,1,1,1,1,1
349,1,0,0,0,0,1,1,0
350,0,0,0,0,0,1,1,0
351,0,1,0,0,0,0,1,0
352,0,0,0,1,1,1,0,0
353,0,0,0,1,0,1,1,0
354,0,0,0,0,0,1,0,0
355,0,0,0,0,0,1,1,0
356,0,1,1,0,1,0,1,1
357,1,0,1,0,0,0,1,0
358,0,0,1,0,0,1,0,1
359,0,0,1,0,0,1,0,1
360,1,0,0,1,1,1,1,0
361,0,0,0,1,0,0,0,0
362,1,0,1,0,1,1,0,0
363,1,0,0,0,0,1,1,0
364,0,0,0,1,0,1,0,0
365,1,0,0,0,0,1,1,0
366,1,1,1,1,0,0,0,1
367,0,0,1,0,0,1,0,1
368,0,0,1,0,0,1,0,1
369,0,1,1,0,0,0,0,1
370,0,1,0,1,0,0,0,1
371,0,0,0,1,0,1,1,0
372,0,0,0,0,0,1,1,0
373,0,1,0,0,0,0,0,0
374,0,0,1,1,1,1,1,0
375,0,1,1,1,0,0,0,1
376,0,0,1,0,0,1,1,1
377,0,1,0,0,1,0,0,0
378,0,0,0,0,0,1,0,0
379,0,0,0,0,0,1,1,0
380,1,1,1,0,0,0,0,1
381,0,0,1,0,1,1,0,1
382,1,0,0,0,0,1,1,0
383,1,1,1,1,0,0,1,1
384,0,0,0,0,0,1,1,0
385,0,1,0,0,0,0,1,0
386,0,1,0,1,1,1,1,0
387,1,0,1,0,0,0,1,1
388,0,0,0,0,0,1,0,0
389,0,0,1,0,0,0,0,1
390,1,1,0,1,1,0,1,1
391,0,0,0,0,0,1,1,1
392,0,0,0,1,0,1,1,0
393,0,1,1,1,0,0,0,1
394,0,0,1,0,1,1,1,1
395,0,0,0,0,0,1,1,0
396,1,0,1,0,0,1,1,0
397,1,0,0,0,0,0,1,0
398,0,0,0,0,0,0,1,0
399,0,0,1,0,0,0,1,1
400,1,0,0,0,0,1,1,1
401,0,0,0,0,0,1,1,0
402,0,0,1,1,0,1,1,0
403,0,0,0,1,0,1,1,0
404,0,0,1,0,0,1,1,0
405,1,0,0,1,0,0,1,0
406,1,0,0,0,0,1,1,0
407,0,0,0,1,1,0,1,1
408,0,0,0,0,0,1,1,0
409,0,0,1,1,1,1,1,0
410,0,0,0,0,0,1,1,0
411,0,0,0,0,0,1,0,0
412,1,1,1,1,0,0,0,1
413,0,0,0,0,0,0,1,0
414,1,0,0,0,0,1,1,1
415,0,0,1,0,0,1,1,0
416,1,0,1,1,1,0,1,1
417,0,0,1,0,1,0,1,1
418,1,0,0,0,0,0,1,0
419,0,0,1,0,1,1,1,0
420,0,0,0,0,0,1,0,0
421,0,0,0,0,0,1,0,0
422,0,0,0,0,0,1,1,0
423,0,0,1,1,1,1,1,0
424,0,0,0,1,1,1,1,0
425,0,0,0,0,0,1,1,0
426,0,0,1,1,0,0,1,1
427,0,0,1,0,0,0,1,1
428,0,0,0,0,0,1,0,0
429,1,0,0,0,0,1,1,1
430,0,0,0,0,0,0,1,1
431,0,0,1,1,0,1,1,1
432,1,0,1,1,0,0,1,1
433,0,0,0,0,0,1,1,0
434,1,1,0,1,0,0,1,0
435,0,1,1,1,1,0,1,1
436,0,1,1,1,1,1,1,0
437,0,0,1,1,1,0,1,1
438,1,1,0,1,1,0,1,0
439,1,0,0,0,0,0,1,0
440,1,0,1,1,1,0,1,1
441,0,0,0,0,0,1,1,0
442,0,0,0,1,0,1,1,0
443,0,0,1,0,0,0,1,1
444,0,0,0,0,0,1,1,1
445,0,1,0,0,1,0,1,1
446,0,0,1,0,1,0,1,1
447,1,0,0,0,0,0,1,1
448,0,0,1,1,1,1,0,1
449,1,0,0,0,0,0,1,1
450,1,0,0,1,1,0,1,0
451,0,0,0,1,0,1,1,0
452,1,0,0,0,0,0,0,0
453,1,1,0,1,0,0,0,1
454,0,0,0,0,0,1,1,0
455,0,0,0,0,0,1,0,1
456,1,0,0,0,0,0,1,0
457,0,1,1,1,0,0,1,1
458,1,0,1,0,0,0,1,1
459,0,0,0,0,0,1,0,0
460,1,0,0,0,0,0,1,1
461,1,0,0,0,0,1,1,0
462,1,1,0,0,0,0,1,0
463,1,0,0,0,0,0,1,0
464,0,0,0,0,0,1,1,0
465,1,0,0,0,0,1,1,0
466,0,0,0,0,0,0,1,0
467,1,0,0,0,0,0,1,0
468,0,0,0,0,0,1,0,0
469,0,0,1,1,1,1,0,1
470,0,0,0,0,0,1,1,0
471,1,0,0,0,0,1,1,0
472,1,0,1,1,1,0,1,1
473,0,0,1,0,0,0,0,1
474,0,0,1,0,0,1,1,0
475,0,1,0,0,0,0,1,0
476,1,0,0,1,0,0,1,0
477,0,0,0,1,0,1,1,0
478,0,0,0,0,0,1,1,0
479,0,0,1,0,1,1,1,1
480,0,1,0,1,1,1,1,0
481,0,0,0,0,0,0,1,0
482,1,0,0,0,0,1,1,0
483,1,0,1,0,0,1,1,1
484,0,1,0,1,0,0,0,1
485,0,0,1,1,1,1,1,0
486,1,1,1,1,0,0,1,1
487,1,0,0,0,0,0,0,0
488,1,0,0,0,0,1,1,0
489,0,0,0,1,1,1,1,1
490,0,0,0,1,0,1,1,0
491,0,0,0,0,0,1,1,0
492,1,0,0,0,0,0,1,0
493,1,1,0,0,0,0,0,0
494,0,0,0,0,0,1,1,0
495,0,0,0,0,0,1,0,0
496,1,1,1,1,0,0,0,1
497,0,0,0,0,0,1,1,0
498,0,1,1,1,1,0,1,0
499,0,0,0,0,0,1,1,0
500,0,0,0,0,0,1,1,0
501,0,0,1,0,0,1,0,0
502,0,0,1,0,0,1,0,0
503,1,0,1,0,0,1,1,0
504,0,1,1,0,0,0,1,1
505,0,1,0,1,0,0,0,0
506,1,0,1,0,1,0,1,1
507,0,0,0,0,0,0,1,1
508,0,0,0,0,0,1,1,0
509,0,1,0,0,0,1,1,1
510,0,0,0,0,0,1,0,1
511,0,0,0,0,0,1,1,0
512,1,0,0,0,0,0,1,1
513,1,1,1,1,0,0,0,1
514,0,0,0,0,0,1,1,0
515,1,1,0,0,0,0,1,0
516,1,0,1,0,0,0,1,1
517,0,0,0,0,0,1,0,0
518,1,0,1,1,0,0,1,1
519,1,0,0,0,0,1,1,0
520,1,1,1,0,0,0,1,1
521,0,0,0,0,0,1,1,0
522,0,0,0,0,0,1,0,0
523,1,1,1,0,1,0,0,1
524,0,0,0,0,0,1,0,0
525,1,0,0,0,0,1,0,0
526,1,0,1,0,0,0,1,1
527,0,1,0,0,0,0,1,0
528,1,0,0,0,0,1,1,0
529,0,0,0,1,1,0,1,0
530,0,0,1,1,1,0,1,1
531,0,0,0,0,0,1,0,0
532,0,0,0,1,1,1,0,0
533,0,0,1,0,1,1,0,1
534,1,0,1,0,0,1,1,0
535,0,0,1,0,1,0,1,1
536,1,0,0,0,0,0,1,0
537,1,1,1,0,0,0,0,1
538,0,0,0,0,0,1,1,0
539,0,1,1,0,1,0,0,1
540,1,1,1,0,1,0,1,1
541,0,0,1,1,1,1,1,0
542,0,0,1,1,1,1,1,0
543,1,0,0,1,0,0,1,1
544,1,1,0,1,0,0,0,0
545,1,0,0,0,0,0,1,0
546,0,0,1,1,0,0,1,1
547,0,0,0,0,0,0,0,1
548,1,0,0,1,1,1,1,0
549,0,1,0,1,1,0,1,1
550,0,1,0,0,1,0,0,1
551,0,0,0,0,0,0,1,0
552,0,0,0,0,0,1,0,0
553,0,0,0,0,0,1,0,1
554,0,0,1,0,0,1,1,1
555,1,0,0,0,0,0,1,0
556,1,1,1,1,0,0,0,1
557,0,1,0,0,0,0,0,0
558,1,1,1,1,1,0,1,1
559,1,0,1,1,0,1,1,1
560,0,0,0,0,0,1,0,0
561,1,0,0,0,0,1,1,0
562,0,0,0,0,0,0,1,0
563,0,0,0,0,0,1,1,0
564,0,0,1,0,0,1,1,0
565,0,0,0,1,0,1,1,0
566,0,0,0,0,0,1,1,0
567,0,0,1,0,1,1,1,0
568,0,0,0,0,0,1,0,0
569,1,0,0,0,0,1,1,1
570,1,0,0,0,0,0,1,1
571,1,1,1,1,0,0,1,1
572,1,0,0,0,0,0,1,1
573,0,0,1,0,0,1,0,1
574,0,0,0,0,0,1,1,0
575,0,0,0,0,0,1,1,0
576,1,0,1,0,0,0,1,1
577,1,1,1,1,0,0,1,1
578,0,0,1,1,0,1,0,0
579,1,0,0,0,0,1,1,1
580,0,0,1,1,1,0,1,1
581,1,1,1,1,1,0,0,1
582,1,0,0,0,0,0,1,0
583,1,1,0,0,0,0,0,0
584,0,0,0,0,0,1,0,0
585,0,1,1,0,1,0,1,1
586,1,0,0,0,0,0,1,0
587,1,1,0,1,1,0,0,1
588,0,0,0,0,0,1,1,0
589,0,0,0,0,0,1,1,0
590,1,0,0,0,0,1,1,0
591,1,1,1,1,0,0,0,1
592,1,0,0,0,0,1,1,0
593,0,0,1,0,1,1,0,0
594,1,0,0,1,0,0,1,0
595,1,0,0,1,1,1,1,0
596,0,0,1,0,0,0,1,1
597,1,0,0,0,0,1,1,0
598,0,0,0,0,0,1,0,0
599,1,1,0,1,0,0,0,1
600,0,0,1,1,1,0,1,1
601,0,0,0,0,0,1,1,0
602,0,1,0,0,0,0,1,0
603,1,0,0,0,0,1,1,0
604,1,0,0,0,0,0,0,1
605,1,0,0,1,0,1,1,0
606,1,0,0,0,0,1,1,0
607,0,0,0,0,0,0,1,1
608,0,1,1,1,1,0,0,1
609,1,1,1,0,0,0,1,1
610,1,0,1,1,1,1,1,0
611,0,0,0,0,0,1,1,0
612,0,0,1,1,0,1,0,1
613,0,0,0,0,0,1,0,0
614,1,0,0,0,0,1,1,0
615,0,1,1,1,1,0,1,1
616,1,0,0,1,1,1,1,0
617,0,0,1,1,0,1,1,0
618,0,1,1,1,1,0,1,1
619,0,0,0,0,0,0,1,0
620,0,0,0,1,0,1,0,0
621,1,1,0,1,0,0,1,1
622,0,0,0,1,1,1,0,1
623,0,0,0,0,0,1,1,0
624,0,0,0,0,0,1,1,0
625,1,0,0,0,0,0,1,0
626,1,0,0,0,0,0,0,0
627,0,1,1,0,0,0,1,1
628,0,0,0,0,0,1,1,0
629,0,0,0,0,0,1,0,0
630,1,0,0,0,0,0,1,1
631,1,0,0,0,0,1,1,0
632,1,0,0,0,0,0,0,1
633,0,0,0,0,0,0,1,0
634,0,0,1,1,1,1,1,0
635,0,0,1,0,0,0,1,1
636,1,0,0,0,0,1,1,0
637,1,0,0,1,1,0,1,0
638,1,1,1,0,1,1,1,0
639,0,0,0,1,0,1,1,0
640,0,0,0,0,0,1,1,0
641,0,1,1,0,0,0,0,1
642,0,0,1,1,1,1,1,0
643,0,1,0,0,0,1,1,1
644,0,0,1,1,1,1,0,1
645,1,1,0,1,0,0,0,1
646,0,0,0,0,0,1,1,0
647,1,1,0,0,0,0,0,1
648,0,0,0,0,0,1,1,0
649,0,0,1,0,0,1,1,1
650,0,0,0,0,0,1,1,0
651,0,0,1,0,1,0,1,1
652,0,0,0,0,0,1,1,0
653,0,0,1,0,0,1,0,1
654,0,0,1,0,0,1,0,0
655,0,1,0,1,0,0,1,0
656,0,0,0,0,0,1,1,0
657,1,0,1,1,1,1,0,0
658,0,0,0,0,0,0,1,0
659,1,1,0,0,1,0,0,0
660,1,1,0,1,0,0,1,1
661,1,0,0,0,0,1,0,0
662,1,0,0,0,0,0,1,0
663,1,0,0,0,0,1,1,0
664,0,0,0,1,0,1,1,1
665,1,1,0,1,0,0,1,0
666,0,0,0,0,0,0,1,0
667,0,0,0,0,0,1,1,0
668,1,0,0,0,0,1,1,0
669,0,1,1,1,0,0,1,1
670,1,1,1,1,1,0,1,1
671,1,1,0,1,0,0,1,0
672,1,0,0,0,0,0,1,0
673,1,0,0,0,0,0,1,1
674,0,0,0,0,0,0,1,0
675,0,0,0,0,0,1,1,0
676,0,0,0,0,0,1,1,0
677,0,0,1,0,0,1,1,1
678,1,1,1,1,1,1,1,0
679,1,1,0,0,1,0,0,1
680,0,0,1,0,0,1,0,0
681,0,1,0,0,0,0,0,1
682,0,0,0,0,0,1,1,0
683,0,1,0,1,1,1,1,0
684,1,1,0,1,1,0,1,0
685,0,1,0,1,1,0,0,0
686,0,1,0,1,1,1,1,0
687,0,0,0,0,0,1,1,0
688,0,0,0,0,0,1,1,0
689,0,1,1,0,1,0,1,1
690,1,1,0,1,0,0,1,1
691,0,0,1,0,1,1,0,1
692,0,1,0,0,0,1,1,1
693,0,0,0,0,0,1,0,0
694,1,0,0,0,0,0,1,0
695,1,0,0,0,0,0,1,0
696,1,0,0,0,0,1,1,0
697,0,0,1,0,0,1,0,1
698,1,1,0,1,1,0,0,0
699,1,0,0,0,0,1,1,0
700,0,1,1,1,0,0,0,1
701,1,0,0,0,0,0,1,1
702,0,0,1,0,1,1,0,0
703,0,0,0,0,0,1,0,0
704,0,0,0,1,0,1,1,0
705,1,0,0,0,0,0,1,0
706,1,0,1,0,0,0,1,1
707,1,0,0,0,0,0,1,1
708,0,1,1,0,0,0,1,1
709,0,0,0,1,1,1,0,1
710,0,1,1,0,0,0,0,1
711,0,0,0,0,0,0,1,0
712,1,1,0,1,0,0,1,1
713,0,0,0,0,0,1,1,0
714,1,0,0,0,0,0,1,0
715,0,0,0,0,0,1,1,0
716,1,1,1,0,0,0,0,1
717,0,0,1,0,0,0,1,1
718,0,0,0,0,0,1,0,0
719,1,0,0,0,0,1,1,0
720,0,0,1,0,1,0,1,1
721,0,0,0,1,0,1,1,0
722,1,0,0,0,0,0,1,0
723,1,0,0,0,0,0,1,0
724,0,1,0,1,0,0,1,1
725,0,0,0,0,0,1,1,0
726,1,0,1,1,0,0,1,1
727,0,0,1,0,0,1,0,1
728,0,0,0,1,0,0,1,0
729,0,0,1,1,0,1,1,0
730,0,1,1,0,0,0,1,1
731,0,0,0,0,0,1,0,0
732,0,0,0,0,0,0,1,0
733,0,0,0,0,0,0,1,0
734,0,0,0,0,0,0,1,0
735,0,0,0,0,0,1,1,0
736,1,1,1,1,1,1,1,0
737,1,1,0,0,0,0,0,1
738,0,0,0,0,0,1,1,0
739,0,0,0,0,0,1,1,0
740,0,0,0,0,0,0,1,1
741,1,1,0,1,0,0,1,0
742,0,1,1,1,1,0,0,1
743,0,0,0,1,0,1,1,0
744,1,0,0,0,0,1,1,1
745,1,1,0,1,1,0,1,0
746,0,0,0,1,1,1,1,0
747,1,0,1,0,0,0,1,1
748,0,1,0,1,0,0,1,0
749,1,0,0,0,0,1,0,0
750,0,0,1,1,1,0,1,1
751,0,0,0,0,1,1,1,1
752,1,0,0,0,0,1,1,0
753,0,0,0,0,0,1,1,0
754,1,1,1,1,1,0,1,1
755,0,0,0,1,1,0,1,1
756,0,0,0,0,0,1,1,0
757,0,0,0,0,0,0,1,0
758,1,0,0,0,0,1,1,0
759,1,1,1,0,0,0,1,1
760,0,0,0,0,0,1,1,0
761,1,0,0,0,0,1,1,0
762,0,0,0,0,0,1,0,1
763,1,1,1,1,1,0,1,1
764,0,0,0,0,0,1,1,0
765,1,1,1,1,0,0,1,1
766,0,1,0,0,0,0,0,0
767,1,0,1,0,0,1,0,0
768,0,0,0,1,0,1,0,0
769,1,0,0,0,0,1,1,0
770,0,0,0,0,0,1,1,0
771,1,0,0,0,0,1,1,0
772,1,0,1,0,0,0,1,0
